ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
882	i	1	d	ʈʂ	tɕ	t	ts	ʈ	ts	tsʰ	t	ts	2245:0
883	m	1	r	-	i/j	i	-	-	-	-	i	-	2245:1
884	n	1	o	ou	o	u	u	o	o	o	u	o	2245:2
885	t	1	⁴	⁴²	²¹	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	2245:3
886	i	1	ɣ	x	Ø	q	q	Ø	k	x	Ø	k	2256:0
887	n	1	ɔ	u	Ø	o	ao	Ø	ou	e	Ø	o	2256:1
888	t	1	¹	⁴²	Ø	²¹	¹²	Ø	²¹	²¹	Ø	²¹	2256:2
889	i	1	Ø	Ø	b	Ø	Ø	b	Ø	p	Ø	p	3624:0
890	n	1	Ø	Ø	ɯ	Ø	Ø	ɯ̃	Ø	e	Ø	ɛ	3624:1
891	c	1	Ø	Ø	-	Ø	Ø	-	Ø	n	Ø	-	3624:2
892	t	1	Ø	Ø	²²	Ø	Ø	²²	Ø	³³	Ø	²¹	3624:3
893	i	1	m	m	m	m	m	m	m	m	m	m	2269:0
894	n	1	ɛ	e	ɛ	ᴇ/ɛ	e	e	e	e	ɛ	e	2269:1
895	c	1	-	-	-	-	n	-	-	-	-	-	2269:2
896	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2269:3
897	i	1	sʰ	ɕʰ	s	s	s	s	s	s	s	s	2280:0
898	n	1	ɔ	i	y	u	u	u	ou	əɯ	ɔ	o	2280:1
899	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	2280:2
900	i	1	s	ɕ	s	s	s	s	s	s	s	s	2291:0
901	m	1	-	i/j	-	-	-	-	-	-	-	-	2291:1
902	n	1	e	e	ɛ	ᴇ/ɛ	e	ɚ/ə̃	e	e	e	e	2291:2
903	c	1	n	n	-	-	n	-	n	n	n	-	2291:3
904	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	2291:4
905	i	1	qʰ	k	dʑ	qʰ	Ø	Ø	kʰ	kʰ	qʰ	k	2303:0
906	m	1	-	u/w	-	-	Ø	Ø	-	-	-	-	2303:1
907	n	1	ɔ	o	i	o	Ø	Ø	ou	o	ɔ	o	2303:2
908	t	1	²	³³	⁴²	⁵⁵	Ø	Ø	³³	³³	³³	³³	2303:3
909	i	1	ts	tɕ	ts	ts	tɕ	ts	tɕ	tɕ	tɕ	tɕ	2316:0
910	m	1	j	-	-	-	-	-	-	-	-	-	2316:1
911	n	1	i	i	i	i	i	i	i	i	i	i	2316:2
912	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁴²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2316:3
913	i	1	p	p	pʰ	Ø	Ø	Ø	p	p	Ø	p	2327:0
914	m	1	r	i	-	Ø	Ø	Ø	-	-	Ø	-	2327:1
915	n	1	i	ə	o	Ø	Ø	Ø	i	i	Ø	i	2327:2
916	t	1	¹	³⁵	⁵⁵	Ø	Ø	Ø	⁵⁵	⁵⁵	Ø	³⁵	2327:3
917	i	1	Ø	Ø	tɕ	ts	Ø	tɕ	Ø	Ø	tɕ	Ø	2329:0
918	m	1	Ø	Ø	-	u	Ø	y/ɥ	Ø	Ø	-	Ø	2329:1
919	n	1	Ø	Ø	o	ᴇ/ɛ	Ø	ẽ	Ø	Ø	y	Ø	2329:2
920	t	1	Ø	Ø	⁴⁴	²⁴	Ø	⁵⁵	Ø	Ø	⁵⁵	Ø	2329:3
921	i	1	qʰ	k	qʰ	qʰ	qʰ	k	k	kʰ	qʰ	k	2342:0
922	m	1	u/w	-	u/w	u/w	u/w	-	-	u/w	u/w	-	2342:1
923	n	1	æ	ou	a	æ	æ	o	ou	ɚ	a	o	2342:2
924	t	1	³	⁴⁴	⁴²	⁴³	⁴²	⁴⁴	⁴⁴	²¹	²¹	⁴⁴	2342:3
925	i	1	b	p	Ø	p	p	p	p	p	Ø	p	2355:0
926	m	1	-	-	Ø	i/j	-	i/j	-	-	Ø	-	2355:1
927	n	1	a	ã	Ø	ɛ	i	e	ɑ̃	a	Ø	a	2355:2
928	c	1	ŋ	-	Ø	-	-	-	-	ŋ	Ø	-	2355:3
929	t	1	⁴	⁴²	Ø	⁴³	⁴²	⁴²	⁴²	⁴²	Ø	⁵³	2355:4
930	i	1	ɖʐ	ʈʂ	ts	dz	ɖʐ	ʐ	ts	dz	ʐ	ts	2364:0
931	n	1	i	i	ɛ	ɿ	i	ɚ/ə̃	i	i	i	i	2364:1
932	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2364:2
933	i	1	b	p	Ø	p	Ø	Ø	p	pʰ	Ø	p	2375:0
934	m	1	r	i/j	Ø	i/j	Ø	Ø	i/j	i/j	Ø	i/j	2375:1
935	n	1	æ	a	Ø	a	Ø	Ø	o	a	Ø	a	2375:2
936	t	1	⁴	⁴²	Ø	²¹	Ø	Ø	⁴²	⁴²	Ø	⁴²	2375:3
937	i	1	l	Ø	l	l	l	l	l	Ø	l	l	2379:0
938	n	1	a	Ø	o	o	ao	o	ɑ	Ø	ɔ	a	2379:1
939	t	1	1a/¹	Ø	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	Ø	⁵⁵	³⁵	2379:2
940	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	tsʰ	ʈʰ	tsʰ	tsʰ	tʰ	tsʰ	2395:0
941	m	1	-	-	-	i/j	-	-	-	-	i/j	-	2395:1
942	n	1	æ	ɚ/ə̃	a	æ	a	ã	a	ɚ/ə	a	ɛ	2395:2
943	c	1	n	-	-	-	n	-	n	-	ŋ	-	2395:3
944	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2395:4
945	i	1	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	2406:0
946	m	1	-	i/j	i/j	i/j	i/j	i	i/j	-	i/j	i/j	2406:1
947	n	1	æ	ɚ̃/ə̃	a	æ	a	ã	a	ɚ/ə̃	a	ɛ	2406:2
948	c	1	-	-	-	-	n	-	n	-	ŋ	-	2406:3
949	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2406:4
950	i	1	k	k	k	k	k	k	k	k	k	k	2417:0
951	n	1	o	o	v/ʯ	u	ao	v/ʯ	v/ʯ	v/ʯ	y	v/ʯ	2417:1
952	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	2417:2
953	i	1	q	k	q	q	q	q	k	k	q	k	2428:0
954	n	1	a	ã	o	a	a	ã	ɑ	a	ɔ	a	2428:1
955	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	-	2428:2
956	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	2428:3
957	i	1	s	s	s	s	s	s	ts	tsʰ	s	s	2439:0
958	n	1	ɔ	u	o	o	u	o	ou	o	ɔ	o	2439:1
959	t	1	²	³³	²²	²²	²²	²²	⁴²	⁵⁵	³³	³³	2439:2
960	i	1	d	ʈʂ	tɕ	tʲ	dʑ	ʈ	ts	ts	d	ts	2450:0
961	m	1	r	-	-	-	-	-	-	-	-	-	2450:1
962	n	1	o	õ	u	o	ou	õ	õ	o	v/ʯ	ou	2450:2
963	c	1	ŋ	-	-	-	-	-	-	ŋ	-	-	2450:3
964	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	2450:4
965	i	1	Ø	ʂ	ɣ	tsʰ	ʈʂ	ʈʂ	tsʰ	ɕ	ʈʂʰ	tsʰ	2461:0
966	n	1	Ø	o	o	ɿ	i	ɚ/ə	i	y	ɚ/ə̃	i	2461:1
967	t	1	Ø	³⁵	²¹	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2461:2
968	i	1	m	m	Ø	m	m	m	m	m	m	Ø	2474:0
969	n	1	æ	ɚ/ə	Ø	æ	æ	a	a	ɚ/ə̃	a	Ø	2474:1
970	c	1	-	-	Ø	-	-	-	n	-	-	Ø	2474:2
971	t	1	1b/¹	²¹	Ø	¹²	¹²	²¹	²¹	²¹	³⁵	Ø	2474:3
972	i	1	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	2484:0
973	m	1	-	-	-	-	-	-	-	-	-	i/j	2484:1
974	n	1	i	i	i	i	i	i	i	i	i	e	2484:2
975	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2484:3
976	i	1	g	k	k	k	g	k	k	k	g	k	2495:0
977	n	1	ɔ	u	o	o	ao	o	ou	o	ɔ	o	2495:1
978	t	1	¹	²¹	²¹	²¹	112/¹²	²¹	²¹	²¹	³⁵	²¹	2495:2
979	i	1	b	p	Ø	Ø	Ø	Ø	p	p	Ø	p	2506:0
980	m	1	r	-	Ø	Ø	Ø	Ø	-	-	Ø	-	2506:1
981	n	1	i	i	Ø	Ø	Ø	Ø	i	i	Ø	i	2506:2
982	t	1	²	³³	Ø	Ø	Ø	Ø	³³	³³	Ø	³³	2506:3
983	i	1	Ø	Ø	dʑ	dz	dʑ	dʑ	Ø	Ø	ʑ	Ø	4489:0
984	m	1	Ø	Ø	y/ɥ	y/ɥ	-	y/ɥ	Ø	Ø	y/ɥ	Ø	4489:1
985	n	1	Ø	Ø	i	ᴇ/ɛ	y	ẽ	Ø	Ø	i	Ø	4489:2
986	t	1	Ø	Ø	²²	²²	²²	²²	Ø	Ø	³³	Ø	4489:3
987	i	1	ʔ	u/w	ʔ	Ø	u/w	u/w	ʔ	m	u/w	u/w	2517:0
988	m	1	u/w	-	u/w	Ø	-	-	u/w	-	-	-	2517:1
989	n	1	e	e	ɛ̃	Ø	e	ẽ	e	e	e	ɛ	2517:2
990	c	1	n	n	-	Ø	n	-	n	n	n	-	2517:3
991	t	1	¹	³⁵	⁵⁵	Ø	²²	²²	⁵⁵	³³	⁵⁵	³⁵	2517:4
992	i	1	pʰ	Ø	Ø	pʰ	Ø	Ø	pʰ	pʰ	Ø	pʰ	2531:0
993	m	1	r	Ø	Ø	i/j	Ø	Ø	i/j	i/j	Ø	i/j	2531:1
994	n	1	a	Ø	Ø	a	Ø	Ø	o	o	Ø	a	2531:2
995	t	1	⁴	Ø	Ø	⁵⁵	Ø	Ø	⁴⁴	⁴⁴	Ø	⁴⁴	2531:3
996	i	1	ɖʐ	ʈʂ	tɕ	tɕ	dz	tɕ	ts	z	ʐ	ts	2540:0
997	m	1	-	-	i	i/j	-	i	-	-	-	-	2540:1
998	n	1	o	o	u	o	ao	u	ṽ/ʯ̃	e	y	v/ʯ	2540:2
999	c	1	-	-	-	-	-	-	-	n	-	-	2540:3
1000	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	2540:4
1001	i	1	tʲ	tɕ	t	t	t	t	tɕ	t	tɕ	tɕ	2565:0
1002	m	1	-	-	-	-	-	-	-	-	i/j	-	2565:1
1003	n	1	ɯ	i	i	i	i	i	i	i	ɯ	i	2565:2
1004	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	2565:3
1005	i	1	m	m	m	m	m	m	m	Ø	m	m	2576:0
1006	n	1	æ	ɚ/ə	i	ᴇ/ɛ	æ	o	a	Ø	a	ɛ	2576:1
1007	c	1	-	-	-	-	-	-	n	Ø	-	-	2576:2
1008	t	1	²	³³	²¹	²²	²²	²²	³³	Ø	³³	³³	2576:3
1009	i	1	m	m	Ø	m	m	m	m	Ø	m	Ø	2577:0
1010	n	1	ø	õ	Ø	o	u	o	õ	Ø	o	Ø	2577:1
1011	t	1	²	³³	Ø	²²	²²	²²	³³	Ø	³³	Ø	2577:2
1012	i	1	ɕ	Ø	Ø	ɕ	ɕ	Ø	ɕ	Ø	ɕ	ts	2578:0
1013	m	1	-	Ø	Ø	i/j	i/j	Ø	-	Ø	i/j	-	2578:1
1014	n	1	a	Ø	Ø	a	a	Ø	ɑ	Ø	a	ou	2578:2
1015	t	1	⁴	Ø	Ø	⁵⁵	²⁴	Ø	⁴⁴	Ø	⁴²	³⁵	2578:3
1016	i	1	ɣ	k	q	q	ɣ	q	k	k	Ø	k	2600:0
1017	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	Ø	ɛ	2600:1
1018	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	Ø	²¹	2600:2
1019	m	1	j	j	j	j	j	j	j	j	j	j	2611:0
1020	n	1	ɔ	ou	u	u	u	o	ou	o	ɔ	ou	2611:1
1021	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁴²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2611:2
1022	i	1	s	s	s	ɕ	ɕ	s	s	Ø	s	s	2622:0
1023	m	1	u/w	u/w	u/w	y/ɥ	y/ɥ	-	u/w	Ø	-	u/w	2622:1
1024	n	1	a	ã	a	ᴇ/ɛ	e	õ	ɑ̃	Ø	ɔ	a	2622:2
1025	c	1	ŋ	-	-	-	n	-	-	Ø	ŋ	-	2622:3
1026	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	³⁵	2622:4
1027	i	1	ŋ	u/w	ŋ	u/w	u/w	u/w	u/w	ŋ	ŋ	u/w	2632:0
1028	m	1	u/w	-	u/w	-	-	-	-	u/w	u/w	-	2632:1
1029	n	1	a	a	a	a	a	a	ɑ̃	a	ɔ	a	2632:2
1030	c	1	-	ŋ	-	-	ŋ	ŋ	-	-	-	-	2632:3
1031	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2632:4
1032	i	1	m	m	ɲ	m	Ø	ɲ	m	Ø	Ø	m	2643:0
1033	m	1	j	-	i/j	i	Ø	i/j	-	Ø	Ø	-	2643:1
1034	n	1	i	i	a	ᴇ/ɛ	Ø	o	i	Ø	Ø	i	2643:2
1035	t	1	1a/¹	⁵⁵	⁵⁵	²⁴	Ø	⁵⁵	⁵⁵	Ø	Ø	³⁵	2643:3
1036	i	1	ŋ	u/w	ŋ	u/w	u/w	ŋ	u/w	ŋ	u/w	u/w	2644:0
1037	m	1	u/w	-	u/w	-	-	-	-	u/w	-	-	2644:1
1038	n	1	a	ã	a	a	a	õ	ɑ̃	a	o	a	2644:2
1039	c	1	-	-	-	-	ŋ	-	-	-	-	-	2644:3
1040	t	1	4/⁴	⁵⁵	⁴⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁴⁴	⁴²	⁴⁴	2644:4
1041	i	1	m	m	Ø	m	m	m	m	m	m	m	2664:0
1042	n	1	ɯ	õ	Ø	ɯ	o	o	ə̃	o	ɯ	ɯ	2664:1
1043	c	1	-	-	Ø	-	ŋ	-	-	-	-	-	2664:2
1044	t	1	⁴	⁴⁴	Ø	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2664:3
1045	i	1	m	m	m	m	m	m	m	m	m	m	2674:0
1046	n	1	ø	ou	o	o	u	o	õ	o	o	o	2674:1
1047	c	1	-	-	-	-	-	-	-	ŋ	-	-	2674:2
1048	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2674:3
1049	i	1	s	ʂ	s	ɕ	s	ʂ	s	s	ɕ	s	2685:0
1050	m	1	r	-	-	i/j	-	-	-	-	i/j	-	2685:1
1051	n	1	o	o	ɛ	o	ao	ɚ/ə̃	ṽ/ʯ̃	e	e	v/ʯ	2685:2
1052	c	1	-	-	-	-	-	-	-	n	n	-	2685:3
1053	t	1	⁴	⁴²	⁵⁵	⁴³	⁴²	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵³	2685:4
1054	i	1	s	ʂ	ɕ	ɕ	s	ɕ	s	s	ʂ	s	2698:0
1055	m	1	r	-	-	-	-	-	-	-	-	-	2698:1
1056	n	1	o	o	y	u	ao	u	v/ʯ	ou	v/ʯ	v/ʯ	2698:2
1057	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2698:3
1058	i	1	n	n	n	n	n	n	n	n	n	n	3921:0
1059	n	1	ɛ	e	ɛ	ᴇ/ɛ	ɛ	e	i	e	ɛ	e	3921:1
1060	t	1	1b/¹	⁴²	²¹	²¹	²⁴	²¹	³¹	⁴²	³⁵	²¹	3921:2
1061	i	1	ɖʐ	ts	tɕ	tɕ	dz	tɕ	ts	tsʰ	ʐ	ts	2720:0
1062	m	1	-	-	i	i/j	-	i	-	-	-	-	2720:1
1063	n	1	u	o	u	o	ao	u	ṽ/ʯ̃	v/ʯ	v/ʯ	ɯ	2720:2
1064	c	1	ŋ	-	-	-	-	-	-	-	-	-	2720:3
1065	t	1	⁴	⁴²	²¹	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	2720:4
1066	i	1	b	Ø	-	v	b	u/w	Ø	Ø	v	Ø	2731:0
1067	m	1	j	Ø	w	-	v	-	Ø	Ø	-	Ø	2731:1
1068	n	1	o	Ø	a	o	u	o	Ø	Ø	ɚ/ə	Ø	2731:2
1069	t	1	⁴	Ø	⁴²	²¹	²¹	²¹	Ø	Ø	⁴²	Ø	2731:3
1070	i	1	s	tɕʰ	s	ɕ	ʂ	ʂ	s	s	ʂ	s	2740:0
1071	m	1	r	-	-	i/j	-	-	-	-	-	-	2740:1
1072	n	1	e	ɚ/ə	ɛ	æ	ẽ	ɚ/ə̃	a	e	ɚ/ə̃	ɛ	2740:2
1073	c	1	ŋ	-	-	-	-	-	n	n	-	-	2740:3
1074	t	1	²	⁵⁵	²²	-	²²	²²	³³	³³	³³	³³	2740:4
1075	m	1	Ø	Ø	j	j	j	j	j	j	j	j	2754:0
1076	n	1	Ø	Ø	i	i	e	i	i	i	i	i	2754:1
1077	c	1	Ø	Ø	-	-	n	-	-	-	-	-	2754:2
1078	t	1	Ø	Ø	⁴²	²¹	⁴²	²¹	³¹	²¹	²¹	³¹	2754:3
1079	i	1	Ø	Ø	ɕ	ɕ	ɕ	Ø	Ø	ɕ	ɕ	ɕ	2755:0
1080	m	1	Ø	Ø	i/j	i/j	i/j	Ø	Ø	i/j	i/j	i/j	2755:1
1081	n	1	Ø	Ø	o	o	o	Ø	Ø	o	o	ou	2755:2
1082	c	1	Ø	Ø	-	-	ŋ	Ø	Ø	ŋ	ŋ	-	2755:3
1083	t	1	Ø	Ø	⁵⁵	²⁴	⁵⁵	Ø	Ø	⁵⁵	⁵⁵	³⁵	2755:4
1084	i	1	Ø	ɕ	Ø	Ø	Ø	ɕ	ɕ	Ø	Ø	Ø	2753:0
1085	m	1	Ø	i	Ø	Ø	Ø	i	i	Ø	Ø	Ø	2753:1
1086	n	1	Ø	õ	Ø	Ø	Ø	õ	õ	Ø	Ø	Ø	2753:2
1087	t	1	Ø	³⁵	Ø	Ø	Ø	⁵⁵	⁵⁵	Ø	Ø	Ø	2753:3
1088	i	1	sʰ	ʂ	ɕ	t	ʈʂ	Ø	s	s	ɕ	s	2771:0
1089	m	1	r	-	-	i/j	-	Ø	-	-	i/j	-	2771:1
1090	n	1	ɯ	ɯ	i	ɯ	i	Ø	ɯ	əɯ	ɯ	ɯ	2771:2
1091	t	1	²	³³	²²	²¹	²⁴	Ø	³³	³³	³³	³³	2771:3
1092	i	1	q	k	q	q	q	q	k	k	q	k	2772:0
1093	n	1	æ	a	a	a	a	a	a	ɚ/ə	a	a	2772:1
1094	t	1	⁴	⁴⁴	⁴⁴	²⁴	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁴⁴	2772:2
1095	i	1	tɕ	tɕ	ts	tɕ	ts	tɕʰ	tɕ	tɕ	tɕ	tɕ	2791:0
1096	m	1	-	i/j	-	-	-	-	i/j	i/j	-	i/j	2791:1
1097	n	1	æ	ɚ̃/ə̃	i	æ	e	i	a	ɚ/ə	a	ɛ	2791:2
1098	c	1	ŋ	-	-	-	n	-	n	-	ŋ	-	2791:3
1099	t	1	¹	³⁵	²²	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2791:4
1100	i	1	m	m	Ø	m	Ø	Ø	m	m	Ø	m	2805:0
1101	m	1	j	i/j	Ø	i/j	Ø	Ø	i/j	i/j	Ø	i/j	2805:1
1102	n	1	æ	ɚ/ə	Ø	æ	Ø	Ø	a	ɚ/ə	Ø	ɛ	2805:2
1103	c	1	-	-	Ø	-	Ø	Ø	n	-	Ø	-	2805:3
1104	t	1	¹	³⁵	Ø	²⁴	Ø	Ø	⁵⁵	⁵⁵	Ø	³⁵	2805:4
1105	i	1	Ø	Ø	ɲ	Ø	ɲ	ɲ	Ø	Ø	ɲ	Ø	2806:0
1106	m	1	Ø	Ø	y	Ø	u/w	-	Ø	Ø	u/w	Ø	2806:1
1107	n	1	Ø	Ø	a	Ø	ɛ	o	Ø	Ø	a	Ø	2806:2
1108	t	1	Ø	Ø	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	Ø	⁵⁵	Ø	2806:3
1109	i	1	ʈ	ʈʂ	t	t	ts	ʈʂ	ts	ts	t	ts	2816:0
1110	m	1	-	-	-	i/j	-	-	-	-	i/j	-	2816:1
1111	n	1	æ	ɚ/ə	ɛ	a	æ	ɚ/ə	a	ɚ/ə	a	ɛ	2816:2
1112	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2816:3
1113	i	1	ɖʐ	tɕ	tsʰ	tɕ	dʑ	tsʰ	Ø	tɕ	-	tɕ	2827:0
1114	m	1	-	i/j	-	-	i/j	-	Ø	-	j	i/j	2827:1
1115	n	1	e	e	o	i	e	o	Ø	e	e	e	2827:2
1116	c	1	n	n	-	-	n	-	Ø	n	n	-	2827:3
1117	t	1	²	³³	⁵⁵	²²	²²	⁵⁵	Ø	³³	³³	³³	2827:4
1118	i	1	ts	ʈʂ	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	2837:0
1119	m	1	r	m	-	-	-	-	-	-	-	-	2837:1
1120	n	1	e	ɚ/ə̃	ẽ	ɿ	ɚ/ə	ɚ/ə̃	a	e	ɚ/ə̃	i	2837:2
1121	c	1	ŋ	-	-	-	-	-	n	n	-	-	2837:3
1122	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	2837:4
1123	i	1	d	tɕ	tɕ	tɕ	dʑ	tɕ	tɕ	tʰ	ʑ	tɕ	2848:0
1124	n	1	i	i	y	i	i	ĩ	i	i	i	i	2848:1
1125	t	1	⁴	⁴²	⁵⁵	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	2848:2
1126	i	1	sʰ	ɕʰ	s	s	ɕ	s	ɕ	ɕ	ɕ	ɕ	2859:0
1127	m	1	j	i/j	-	-	i/j	-	i/j	-	i/j	-	2859:1
1128	n	1	e	e	ɛ	i	e	ẽ	e	e	e	i	2859:2
1129	c	1	n	n	-	-	n	-	n	n	n	-	2859:3
1130	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	2859:4
1131	i	1	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	4068:0
1132	n	1	ɯ	ɯ	ɯ	ɯ	e	ɯ	ə	ə	ɯ	ɯ	4068:1
1133	t	1	²	³³	²¹	²¹	²¹	²¹	³³	³³	³³	³³	4068:2
1134	i	1	Ø	s	s	s	s	s	Ø	s	s	s	2871:0
1135	m	1	Ø	u/w	u/w	u/w	u/w	u/w	Ø	u/w	u/w	u/w	2871:1
1136	n	1	Ø	a	a	a	a	a	Ø	a	ɔ	a	2871:2
1137	t	1	Ø	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	Ø	⁴⁴	⁴²	⁴⁴	2871:3
1138	i	1	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	2889:0
1139	m	1	-	i/j	-	i/j	-	-	i/j	-	-	i/j	2889:1
1140	n	1	ɯ	ɯ	i	ɯ	i	i	ɯ	əɯ	i	ɯ	2889:2
1141	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2889:3
1142	i	1	k	k	k	k	k	k	k	k	k	k	2900:0
1143	n	1	u	u	v/ʯ	u	u	v/ʯ	u	v/ʯ	v/ʯ	u	2900:1
1144	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2900:2
1145	m	1	j	j	Ø	j	j	Ø	j	Ø	j	Ø	2911:0
1146	n	1	ɔ	ou	Ø	o	a	Ø	ou	Ø	o	Ø	2911:1
1147	t	1	⁵	⁴²	Ø	⁴³	⁵⁵	Ø	⁴²	Ø	²¹	Ø	2911:2
1148	i	1	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	2928:0
1149	n	1	u	õ	o	o	*/ə	o	ṽ/ʯ̃	o	v/ʯ	i	2928:1
1150	c	1	ŋ	-	ŋ	-	-	-	-	ŋ	-	-	2928:2
1151	t	1	¹	⁵⁵	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2928:3
1152	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	2941:0
1153	n	1	ɯ̃	ɯ	ɯ	ɯ	e	ɯ̃	ɯ	ə	ɚ/ə̃	ɯ	2941:1
1154	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2941:2
1155	i	1	ŋ	u/w	ŋ	u/w	u/w	n	u/w	ŋ	ŋ	u/w	2952:0
1156	m	1	u/w	-	u/w	-	-	-	-	u/w	u/w	-	2952:1
1157	n	1	a	a	a	a	a	õ	ɑ̃	a	ɔ	a	2952:2
1158	c	1	-	ŋ	-	-	ŋ	-	-	-	-	-	2952:3
1159	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	²²	⁴⁴	⁴⁴	⁴²	⁴⁴	2952:4
1160	i	1	ɕ	ɕ	Ø	Ø	Ø	Ø	ts	ɕ	ɕ	Ø	2965:0
1161	m	1	u/w	y/ɥ	Ø	Ø	Ø	Ø	-	-	y/ɥ	Ø	2965:1
1162	n	1	i	i	Ø	Ø	Ø	Ø	a	u	i	Ø	2965:2
1163	t	1	²	³³	Ø	Ø	Ø	Ø	²¹	³³	³	Ø	2965:3
1164	i	1	s	Ø	Ø	s	s	Ø	Ø	s	Ø	s	2977:0
1165	n	1	ɔ	Ø	Ø	o	ao	Ø	Ø	v/ʯ	Ø	i	2977:1
1166	t	1	⁴	Ø	Ø	⁵⁵	⁴²	Ø	Ø	⁴⁴	Ø	⁵⁵	2977:2
1167	i	1	Ø	k	q	q	Ø	q	k	Ø	Ø	k	2976:0
1168	m	1	Ø	-	-	-	Ø	-	-	Ø	Ø	u/w	2976:1
1169	n	1	Ø	u	o	o	Ø	o	ou	Ø	Ø	o	2976:2
1170	t	1	Ø	²¹	²¹	²¹	Ø	²¹	²¹	Ø	Ø	²¹	2976:3
