ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	COGID
3945	Ega	to saw	(ɕa44)fv42	fv42	f v/ʯ ⁴²	4669	i n t	f v/ʯ ⁴²	4669	655
3946	Jinman	to saw	(ɕa44)fv42	fv42	f v/ʯ ⁴²	4669	i n t	f v/ʯ ⁴²	4669	655
3947	Dashi	to saw	(ʂʰɚ44)	ʂʰɚ44	ʂʰ ɚ/ə ⁴⁴	4668	i n t	ʂʰ ɚ/ə ⁴⁴	4668	654
3948	Zhoucheng	to saw	fv42	fv42	f v/ʯ ⁴²	4669	i n t	f v/ʯ ⁴²	4669	655
3949	Mazhelong	to saw	fv42	fv42	f v/ʯ ⁴²	4669	i n t	f v/ʯ ⁴²	4669	655
3950	ProtoBai	to smell	tʰru1	tʰru1	tʰ r u ¹	4676	i m n t	tʰ r u ¹	4676	657
3951	Tuoluo	to smell	tʰv55	tʰv55	tʰ v/ʯ ⁵⁵	4676	i n t	tʰ - v/ʯ ⁵⁵	4676	657
3952	Gongxing	to smell	tʂʰy55	tʂʰy55	ʈʂʰ y ⁵⁵	4676	i n t	ʈʂʰ - y ⁵⁵	4676	657
3953	Enqi	to smell	tʰiu24	tʰiu24	tʰ i u ²⁴	4676	i m n t	tʰ i u ²⁴	4676	657
3954	Ega	to smell	xã55	xã55	x ã ⁵⁵	4677	i n t	x ã ⁵⁵	4677	658
3955	Jinman	to smell	ʈʰu55	ʈʰu55	ʈʰ u ⁵⁵	4676	i n t	ʈʰ - u ⁵⁵	4676	657
3956	Jinxing	to smell	tsʰu55	tsʰu55	tsʰ u ⁵⁵	4676	i n t	tsʰ - u ⁵⁵	4676	657
3957	Dashi	to smell	tʂʰu55	tʂʰu55	ʈʂʰ u ⁵⁵	4676	i n t	ʈʂʰ - u ⁵⁵	4676	657
3958	Zhoucheng	to smell	tʂv55	tʂv55	ʈʂ v/ʯ ⁵⁵	4676	i n t	ʈʂ - v/ʯ ⁵⁵	4676	657
3959	Mazhelong	to smell	tsʰu55	tsʰu55	tsʰ u ⁵⁵	4676	i n t	tsʰ - u ⁵⁵	4676	657
3960	ProtoBai	to thunder	sky+cry	xen1+cry	x e n ¹ + c r y	4687 4689	i n c t + i m n	x e n ¹ + c r y	4411 4689	659
3961	Tuoluo	to thunder	xen55ma35	xen55ma35	x e n ⁵⁵ + m a ³⁵	4687 4688	i n c t + i n t	x e n ⁵⁵ + m a - ³⁵	4411 4412	659
3962	Gongxing	to thunder	hen55mæ12	hen55mæ12	h e n ⁵⁵ + m æ ¹²	4687 4688	i n c t + i n t	h e n ⁵⁵ + m æ - ¹²	4411 4412	659
3963	Enqi	to thunder	xE24mæ21	xE24mæ21	x ᴇ/ɛ ²⁴ + m æ ²¹	4687 4688	i n t + i n t	x ᴇ/ɛ - ²⁴ + m æ - ²¹	4411 4412	659
3964	Ega	to thunder	xẽ55ma21	xẽ55ma21	x ẽ ⁵⁵ + m a ²¹	4687 4688	i n t + i n t	x ẽ - ⁵⁵ + m a - ²¹	4411 4412	659
3965	Jinman	to thunder	xẽ55ma21	xẽ55ma21	x ẽ ⁵⁵ + m a ²¹	4687 4688	i n t + i n t	x ẽ - ⁵⁵ + m a - ²¹	4411 4412	659
3966	Jinxing	to thunder	xen55man21	xen55man21	x e n ⁵⁵ + m a n ²¹	4687 4688	i n c t + i n c t	x e n ⁵⁵ + m a n ²¹	4411 4412	659
3967	Dashi	to thunder	xen55mɚ21	xen55mɚ21	x e n ⁵⁵ + m ɚ/ə ²¹	4687 4688	i n c t + i n t	x e n ⁵⁵ + m ɚ/ə - ²¹	4411 4412	659
3968	Zhoucheng	to thunder	xe55mɛ21	xe55mɛ21	x e ⁵⁵ + m ɛ ²¹	4687 4688	i n t + i n t	x e - ⁵⁵ + m ɛ - ²¹	4411 4412	659
3969	Mazhelong	to thunder	xen55mɚ21	xen55mɚ21	x e n ⁵⁵ + m ɚ/ə ²¹	4687 4688	i n c t + i n t	x e n ⁵⁵ + m ɚ/ə - ²¹	4411 4412	659
3970	ProtoBai	to water/sprinkle/irrigate	ɔ4	ɔ4	ɔ ⁴	4708	n t	ɔ ⁴	4708	660
3971	Tuoluo	to water/sprinkle/irrigate	o42	o42	o ⁴²	4708	n t	o ⁴²	4708	660
3972	Gongxing	to water/sprinkle/irrigate	(læ24)	læ24	l æ ²⁴	4709	i n t	l æ ²⁴	4709	661
3973	Enqi	to water/sprinkle/irrigate	u55	u55	u ⁵⁵	4708	n t	u ⁵⁵	4708	660
3974	Ega	to water/sprinkle/irrigate	o55(/xuɛ55)	o55	o ⁵⁵	4708	n t	o ⁵⁵	4708	660
3975	Ega	to water/sprinkle/irrigate	o55(/xuɛ55)	xuɛ55)	x u/w ɛ ⁵⁵	4710	i m n t	x u/w ɛ ⁵⁵	4710	662
3976	Jinman	to water/sprinkle/irrigate	u55	u55	u ⁵⁵	4708	n t	u ⁵⁵	4708	660
3977	Jinxing	to water/sprinkle/irrigate	ou44	ou44	ou ⁴⁴	4708	n t	ou ⁴⁴	4708	660
3978	Dashi	to water/sprinkle/irrigate	ou44	ou44	ou ⁴⁴	4708	n t	ou ⁴⁴	4708	660
3979	Zhoucheng	to water/sprinkle/irrigate	ou44	ou44	ou ⁴⁴	4708	n t	ou ⁴⁴	4708	660
3980	Mazhelong	to water/sprinkle/irrigate	o44	o44	o ⁴⁴	4708	n t	o ⁴⁴	4708	660
3981	ProtoBai	today	qæn1	qæn1	q æ n ¹	4720	i n c t	q æ n ¹	4720	663
3982	Tuoluo	today	qan55(jien42)	qan55	q a n ⁵⁵	4720	i n c t	q a n ⁵⁵	4720	663
3983	Gongxing	today	qɛ55(ɲi22)	qɛ55	q ɛ ⁵⁵	4720	i n t	q ɛ - ⁵⁵	4720	663
3984	Enqi	today	qæ24(ɲi22)	qæ24	q æ ²⁴	4720	i n t	q æ - ²⁴	4720	663
3985	Ega	today	qa44(ɲi44)	qa44	q a ⁴⁴	4720	i n t	q a - ⁴⁴	4720	663
3986	Jinman	today	qa55(ɲi44)	qa55	q a ⁵⁵	4720	i n t	q a - ⁵⁵	4720	663
3987	Jinxing	today	ki55(ɕia44)	ki55	k i ⁵⁵	4720	i n t	k i - ⁵⁵	4720	663
3988	Dashi	today	ke55(jien44)	ke55	k e ⁵⁵	4720	i n t	k e - ⁵⁵	4720	663
3989	Zhoucheng	today	kɛ55(ɲe44)	kɛ55	k ɛ ⁵⁵	4720	i n t	k ɛ - ⁵⁵	4720	663
3990	Mazhelong	today	kĩ55(ni44)	kĩ55	k ĩ ⁵⁵	4720	i n t	k ĩ - ⁵⁵	4720	663
3991	ProtoBai	tongue	drɛ4	drɛ4	d r ɛ ⁴	4731	i m n t	d r ɛ ⁴	4731	664
3992	Tuoluo	tongue	de42	de42	d e ⁴²	4731	i n t	d - e ⁴²	4731	664
3993	Gongxing	tongue	djɛ21	djɛ21	d j ɛ ²¹	4731	i m n t	d j ɛ ²¹	4731	664
3994	Enqi	tongue	tjE21	tjE21	tʲ ᴇ/ɛ ²¹	4731	i n t	tʲ - ᴇ/ɛ ²¹	4731	664
3995	Ega	tongue	ti21	ti21	t i ²¹	4731	i n t	t - i ²¹	4731	664
3996	Jinman	tongue	ʈɚ42	ʈɚ42	ʈ ɚ/ə ⁴²	4731	i n t	ʈ - ɚ/ə ⁴²	4731	664
3997	Jinxing	tongue	tse42	tse42	ts e ⁴²	4731	i n t	ts - e ⁴²	4731	664
3998	Dashi	tongue	tʂe42	tʂe42	ʈʂ e ⁴²	4731	i n t	ʈʂ - e ⁴²	4731	664
3999	Zhoucheng	tongue	tse42	tse42	ts e ⁴²	4731	i n t	ts - e ⁴²	4731	664
4000	Mazhelong	tongue	tsʰɛ42	tsʰɛ42	tsʰ ɛ ⁴²	4731	i n t	tsʰ - ɛ ⁴²	4731	664
4001	ProtoBai	trace; track	tsuŋ1	tsuŋ1	ts u ŋ ¹	4742	i n c t	ts - u ŋ ¹	4742	665
4002	Tuoluo	trace; track	tsvŋ55	tsvŋ55	ts v/ʯ ŋ ⁵⁵	4742	i n c t	ts - v/ʯ ŋ ⁵⁵	4742	665
4003	Gongxing	trace; track	tsi22	tsi22	ts i ²²	4742	i n t	ts - i - ²²	4742	665
4004	Enqi	trace; track	tɕia55	tɕia55	tɕ i/j a ⁵⁵	4742	i m n t	tɕ i/j a - ⁵⁵	4742	665
4005	Ega	trace; track	tɕio55	tɕio55	tɕ i/j o ⁵⁵	4742	i m n t	tɕ i/j o - ⁵⁵	4742	665
4006	Jinman	trace; track	tsõ55	tsõ55	ts õ ⁵⁵	4742	i n t	ts - õ - ⁵⁵	4742	665
4007	Jinxing	trace; track	tsṽ55	tsṽ55	ts ṽ/ʯ̃ ⁵⁵	4742	i n t	ts - ṽ/ʯ̃ - ⁵⁵	4742	665
4008	Dashi	trace; track	(tso13)	tso13	ts o ¹³	4742	i n t	ts - o - ¹³	4742	665
4009	Mazhelong	trace; track	tsoŋ55	tsoŋ55	ts o ŋ ⁵⁵	4742	i n c t	ts - o ŋ ⁵⁵	4742	665
4010	ProtoBai	transplant (rice seedling); insert	pʰjen1	pʰjen1	pʰ j e n ¹	4755	i m n c t	pʰ j e n ¹	4755	669
4011	Tuoluo	transplant (rice seedling); insert	fɚ55	fɚ55	f ɚ/ə ⁵⁵	4752	i n t	f ɚ/ə ⁵⁵	4752	666
4012	Gongxing	transplant (rice seedling); insert	pfu55	pfu55	pf u ⁵⁵	4752	i n t	pf u ⁵⁵	4752	666
4013	Enqi	transplant (rice seedling); insert	fE24	fE24	f ᴇ/ɛ ²⁴	4752	i n t	f ᴇ/ɛ ²⁴	4752	666
4014	Ega	transplant (rice seedling); insert	(xue55)	xue55	x u/w e ⁵⁵	4753	i m n t	x u/w e ⁵⁵	4753	667
4015	Jinman	transplant (rice seedling); insert	(tɕiõ42)	tɕiõ42	tɕ i õ ⁴²	4754	i m n t	tɕ i õ ⁴²	4754	668
4016	Jinxing	transplant (rice seedling); insert	fv55	fv55	f v/ʯ ⁵⁵	4752	i n t	f v/ʯ ⁵⁵	4752	666
4017	Dashi	transplant (rice seedling); insert	fv55	fv55	f v/ʯ ⁵⁵	4752	i n t	f v/ʯ ⁵⁵	4752	666
4018	Zhoucheng	transplant (rice seedling); insert	fv55	fv55	f v/ʯ ⁵⁵	4752	i n t	f v/ʯ ⁵⁵	4752	666
4019	Mazhelong	transplant (rice seedling); insert	pʰien55	pʰien55	pʰ i/j e n ⁵⁵	4755	i m n c t	pʰ i/j e n ⁵⁵	4755	669
4020	ProtoBai	tree	drɯ3	drɯ3	d r ɯ ³	4763	i m n t	d r ɯ ³	4763	670
4021	Tuoluo	tree	diɯ21	diɯ21	d i/j ɯ ²¹	4763	i m n t	d i/j ɯ ²¹	4763	670
4022	Gongxing	tree	dʐi42	dʐi42	ɖʐ i ⁴²	4763	i n t	ɖʐ - i ⁴²	4763	670
4023	Enqi	tree	diɯ43	diɯ43	d i/j ɯ ⁴³	4763	i m n t	d i/j ɯ ⁴³	4763	670
4024	Ega	tree	dʑi42	dʑi42	dʑ i ⁴²	4763	i n t	dʑ - i ⁴²	4763	670
4025	Jinman	tree	ɖɯ42	ɖɯ42	ɖ ɯ ⁴²	4763	i n t	ɖ - ɯ ⁴²	4763	670
4026	Jinxing	tree	tsɯ31	tsɯ31	ts ɯ ³¹	4763	i n t	ts - ɯ ³¹	4763	670
4027	Dashi	tree	tʂɯ21	tʂɯ21	ʈʂ ɯ ²¹	4763	i n t	ʈʂ - ɯ ²¹	4763	670
4028	Zhoucheng	tree	tsɯ31	tsɯ31	ts ɯ ³¹	4763	i n t	ts - ɯ ³¹	4763	670
4029	Mazhelong	tree	dzǝɯ21	dzǝɯ21	dz əɯ ²¹	4763	i n t	dz - əɯ ²¹	4763	670
4030	ProtoBai	trip-hammer for hulling rice	duɛ5	duɛ5	d u/w ɛ ⁵	4774	i m n t	d u/w ɛ ⁵	4774	671
4031	Tuoluo	trip-hammer for hulling rice	due21	due21	d u/w e ²¹	4774	i m n t	d u/w e ²¹	4774	671
4032	Gongxing	trip-hammer for hulling rice	tyɛ42	tyɛ42	t y/ɥ ɛ ⁴²	4774	i m n t	t y/ɥ ɛ ⁴²	4774	671
4033	Enqi	trip-hammer for hulling rice	tyi43	tyi43	t y/ɥ i ⁴³	4774	i m n t	t y/ɥ i ⁴³	4774	671
4034	Ega	trip-hammer for hulling rice	ti42	ti42	t i ⁴²	4774	i n t	t - i ⁴²	4774	671
4035	Jinman	trip-hammer for hulling rice	(ɕyi33kue55)	ɕyi33kue55	ɕ y/ɥ i ³³ + k u/w e ⁵⁵	4775 4774	i m n t + i m n t	ɕ y/ɥ i ³³ + k u/w e ⁵⁵	4775 4774	671
4036	Jinxing	trip-hammer for hulling rice	tui42	tui42	t u/w i ⁴²	4774	i m n t	t u/w i ⁴²	4774	671
4037	Dashi	trip-hammer for hulling rice	tui42	tui42	t u/w i ⁴²	4774	i m n t	t u/w i ⁴²	4774	671
4038	Zhoucheng	trip-hammer for hulling rice	(sɯ33kɯ33)	sɯ33kɯ33	s ɯ ³³ + k ɯ ³³	4774 4776	i n t + i n t	s - ɯ ³³ + k ɯ ³³	4774 4776	671
4039	Mazhelong	trip-hammer for hulling rice	tɛ42	tɛ42	t ɛ ⁴²	4774	i n t	t - ɛ ⁴²	4774	671
4040	ProtoBai	turn around	dʐuen5?	dʐuen5?	ɖʐ u/w e n ?/⁵	4787	i m n c t	ɖʐ u/w e n ?/⁵	4787	672
4041	Tuoluo	turn around	ʐyen21	ʐyen21	ʐ y/ɥ e n ²¹	4787	i m n c t	ʐ y/ɥ e n ²¹	4787	672
4042	Gongxing	turn around	zyen42	zyen42	z y/ɥ e n ⁴²	4787	i m n c t	z y/ɥ e n ⁴²	4787	672
4043	Enqi	turn around	tɕyE43	tɕyE43	tɕ y/ɥ ᴇ/ɛ ⁴³	4787	i m n t	tɕ y/ɥ ᴇ/ɛ - ⁴³	4787	672
4044	Ega	turn around	zyɛ42	zyɛ42	z y/ɥ ɛ ⁴²	4787	i m n t	z y/ɥ ɛ - ⁴²	4787	672
4045	Jinman	turn around	zye42	zye42	z y/ɥ e ⁴²	4787	i m n t	z y/ɥ e - ⁴²	4787	672
4046	Jinxing	turn around	tsuen42	tsuen42	ts u/w e n ⁴²	4787	i m n c t	ts u/w e n ⁴²	4787	672
4047	Dashi	turn around	tʂuen42	tʂuen42	ʈʂ u/w e n ⁴²	4787	i m n c t	ʈʂ u/w e n ⁴²	4787	672
4048	Zhoucheng	turn around	tsue42	tsue42	ts u/w e ⁴²	4787	i m n t	ts u/w e - ⁴²	4787	672
4049	Mazhelong	turn around	tsuan42	tsuan42	ts u/w a n ⁴²	4787	i m n c t	ts u/w a n ⁴²	4787	672
4050	ProtoBai	turtledove	tɕu1kɯ1	tɕu1kɯ1	tɕ u ¹ + k ɯ ¹	4798 4799	i n t + i n t	tɕ u ¹ + k ɯ ¹	4798 4799	673
4051	Tuoluo	turtledove	tɕɯ55kɯ̄̄	tɕɯ55kɯ̄̄	tɕ ɯ ⁵⁵ + k ɯ̃ ⁰	4798 4799	i n t + i n t	tɕ ɯ ⁵⁵ + k ɯ̃ ⁰	4798 4799	673
4052	Gongxing	turtledove	tɕi22kɯ12	tɕi22kɯ12	tɕ i ²² + k ɯ ¹²	4798 4799	i n t + i n t	tɕ i ²² + k ɯ ¹²	4798 4799	673
4053	Enqi	turtledove	tɕi24kɯ24	tɕi24kɯ24	tɕ i ²⁴ + k ɯ ²⁴	4798 4799	i n t + i n t	tɕ i ²⁴ + k ɯ ²⁴	4798 4799	673
4054	Jinman	turtledove	tɕi55kɯ55	tɕi55kɯ55	tɕ i ⁵⁵ + k ɯ ⁵⁵	4798 4799	i n t + i n t	tɕ i ⁵⁵ + k ɯ ⁵⁵	4798 4799	673
4055	Zhoucheng	turtledove	(ku31ku55ku33)	ku31ku55ku33	k u ³¹ + k u ⁵⁵ + k u ³³	4799 4798 4800	i n t + i n t + i n t	k u ³¹ + k u ⁵⁵ + k u ³³	4799 4798 4800	673
4056	Mazhelong	turtledove	tɕi55kǝɯ55	tɕi55kǝɯ55	tɕ i ⁵⁵ + k əɯ ⁵⁵	4798 4799	i n t + i n t	tɕ i ⁵⁵ + k əɯ ⁵⁵	4798 4799	673
4057	ProtoBai	twelve	ten+ne4	dzri4+ne4	ɖʐ i ⁴ + n e ⁴	4814 4815	i n t + i n t	ɖʐ i ⁴ + n e ⁴	4814 4815	674
4058	Tuoluo	twelve	ʐɚ42ne42	ʐɚ42ne42	ʐ ɚ/ə ⁴² + n e ⁴²	4814 4815	i n t + i n t	ʐ ɚ/ə ⁴² + n e ⁴²	4814 4815	674
4059	Gongxing	twelve	dʐi21nɛ55	dʐi21nɛ55	ɖʐ i ²¹ + n ɛ ⁵⁵	4814 4815	i n t + i n t	ɖʐ i ²¹ + n ɛ ⁵⁵	4814 4815	674
4060	Enqi	twelve	tsɿ21nE55	tsɿ21nE55	ts ɿ ²¹ + n ᴇ/ɛ ⁵⁵	4814 4815	i n t + i n t	ts ɿ ²¹ + n ᴇ/ɛ ⁵⁵	4814 4815	674
4061	Ega	twelve	tsɛ42(kv22)	tsɛ42	ts ɛ ⁴²	4814	i n t	ts ɛ ⁴²	4814	674
4062	Jinxing	twelve	tsa42ne44	tsa42ne44	ts a ⁴² + n e ⁴⁴	4814 4815	i n t + i n t	ts a ⁴² + n e ⁴⁴	4814 4815	674
4063	Dashi	twelve	tʂi42ne44	tʂi42ne44	ʈʂ i ⁴² + n e ⁴⁴	4814 4815	i n t + i n t	ʈʂ i ⁴² + n e ⁴⁴	4814 4815	674
4064	Zhoucheng	twelve	tsi42ne44	tsi42ne44	ts i ⁴² + n e ⁴⁴	4814 4815	i n t + i n t	ts i ⁴² + n e ⁴⁴	4814 4815	674
4065	Mazhelong	twelve	tsʰi42ne44	tsʰi42ne44	tsʰ i ⁴² + n e ⁴⁴	4814 4815	i n t + i n t	tsʰ i ⁴² + n e ⁴⁴	4814 4815	674
4066	ProtoBai	twist (a tower)	tsuɛ4	tsuɛ4	ts u/w ɛ ⁴	4834	i m n t	ts u/w ɛ ⁴	4834	677
4067	Tuoluo	twist (a tower)	(ji42)	ji42	j i ⁴²	4832	m n t	j i ⁴²	1874	675
4068	Gongxing	twist (a tower)	(ji21)	ji21	j i ²¹	4832	m n t	j i ²¹	1874	675
4069	Enqi	twist (a tower)	tsuE55(/ji21)	tsuE55	ts u ᴇ/ɛ ⁵⁵	4833	i m n t	ts u ᴇ/ɛ ⁵⁵	4833	676
4070	Enqi	twist (a tower)	tsuE55(/ji21)	ji21)	j i ²¹	4832	m n t	j i ²¹	1874	675
4071	Ega	twist (a tower)	(ji42)	ji42	j i ⁴²	4832	m n t	j i ⁴²	1874	675
4072	Jinman	twist (a tower)	(ji42)	ji42	j i ⁴²	4832	m n t	j i ⁴²	1874	675
4073	Jinxing	twist (a tower)	tsui44	tsui44	ts u/w i ⁴⁴	4834	i m n t	ts u/w i ⁴⁴	4834	677
4074	Dashi	twist (a tower)	(ji31)	ji31	j i ³¹	4832	m n t	j i ³¹	1874	675
4075	Zhoucheng	twist (a tower)	tsue44	tsue44	ts u/w e ⁴⁴	4834	i m n t	ts u/w e ⁴⁴	4834	677
4076	Mazhelong	twist (a tower)	tsuɛ44	tsuɛ44	ts u/w ɛ ⁴⁴	4834	i m n t	ts u/w ɛ ⁴⁴	4834	677
4077	ProtoBai	twist (hemp fivers)	tsʰo4	tsʰo4	tsʰ o ⁴	4844	i n t	tsʰ o ⁴	4844	678
4078	Tuoluo	twist (hemp fivers)	tsʰu42	tsʰu42	tsʰ u ⁴²	4844	i n t	tsʰ u ⁴²	4844	678
4079	Enqi	twist (hemp fivers)	tsʰu55	tsʰu55	tsʰ u ⁵⁵	4844	i n t	tsʰ u ⁵⁵	4844	678
4080	Ega	twist (hemp fivers)	tsʰo55	tsʰo55	tsʰ o ⁵⁵	4844	i n t	tsʰ o ⁵⁵	4844	678
4081	Jinman	twist (hemp fivers)	tsʰo55	tsʰo55	tsʰ o ⁵⁵	4844	i n t	tsʰ o ⁵⁵	4844	678
4082	Jinxing	twist (hemp fivers)	tsʰou44	tsʰou44	tsʰ ou ⁴⁴	4844	i n t	tsʰ ou ⁴⁴	4844	678
4083	Dashi	twist (hemp fivers)	tsʰou33	tsʰou33	tsʰ ou ³³	4844	i n t	tsʰ ou ³³	4844	678
4084	Zhoucheng	twist (hemp fivers)	tsʰo44	tsʰo44	tsʰ o ⁴⁴	4844	i n t	tsʰ o ⁴⁴	4844	678
4085	Mazhelong	twist (hemp fivers)	tsʰo44	tsʰo44	tsʰ o ⁴⁴	4844	i n t	tsʰ o ⁴⁴	4844	678
4086	ProtoBai	two	koŋ2	koŋ2	k o ŋ ²	4854	i n c t	k o ŋ ²	4854	679
4087	Tuoluo	two	kpŋ33	kpŋ33	kp/k ə ŋ ³³	4854	i n c t	kp/k ə ŋ ³³	4854	679
4088	Gongxing	two	koŋ33	koŋ33	k o ŋ ³³	4854	i n c t	k o ŋ ³³	4854	679
4089	Enqi	two	ku22	ku22	k u ²²	4854	i n t	k u - ²²	4854	679
4090	Ega	two	kv33	kv33	k v/ʯ ³³	4854	i n t	k v/ʯ - ³³	4854	679
4091	Jinman	two	koŋ33	koŋ33	k o ŋ ³³	4854	i n c t	k o ŋ ³³	4854	679
4092	Jinxing	two	kõ33	kõ33	k õ ³³	4854	i n t	k õ - ³³	4854	679
4093	Dashi	two	koŋ33	koŋ33	k o ŋ ³³	4854	i n c t	k o ŋ ³³	4854	679
4094	Zhoucheng	two	kou33	kou33	k ou ³³	4854	i n t	k ou - ³³	4854	679
4095	Mazhelong	two	koŋ33	koŋ33	k o ŋ ³³	4854	i n c t	k o ŋ ³³	4854	679
4096	ProtoBai	uncle (mother's brother)	ɢɯ̃2	ɢɯ̃2	ɣ ɯ̃ ²	4866	i n t	ɣ - ɯ̃ ²	4866	680
4097	Tuoluo	uncle (mother's brother)	qɯ33	qɯ33	q ɯ ³³	4866	i n t	q - ɯ ³³	4866	680
4098	Gongxing	uncle (mother's brother)	qɯ22	qɯ22	q ɯ ²²	4866	i n t	q - ɯ ²²	4866	680
4099	Enqi	uncle (mother's brother)	qɯ22	qɯ22	q ɯ ²²	4866	i n t	q - ɯ ²²	4866	680
4100	Ega	uncle (mother's brother)	qɯ22	qɯ22	q ɯ ²²	4866	i n t	q - ɯ ²²	4866	680
4101	Jinman	uncle (mother's brother)	gɯ̃22	gɯ̃22	g ɯ̃ ²²	4866	i n t	g - ɯ̃ ²²	4866	680
4102	Jinxing	uncle (mother's brother)	[tɕiou55tɕou55]	tɕiou55tɕou55	tɕ i/j ou ⁵⁵ + tɕ ou ⁵⁵	4867 4866	i m n t + i n t	tɕ i/j ou ⁵⁵ + tɕ - ou ⁵⁵	4867 4866	680
4103	Dashi	uncle (mother's brother)	[a55tɕiou55]	a55tɕiou55	a ⁵⁵ + tɕ i/j ou ⁵⁵	4865 4866	n t + i m n t	a ⁵⁵ + tɕ i/j ou ⁵⁵	4865 4866	680
4104	Zhoucheng	uncle (mother's brother)	[tɕou55]	tɕou55	tɕ ou ⁵⁵	4866	i n t	tɕ - ou ⁵⁵	4866	680
4105	Mazhelong	uncle (mother's brother)	[tɕi55kǝɯ33]	tɕi55kǝɯ33	tɕ i ⁵⁵ + k əɯ ³³	4868 4866	i n t + i n t	tɕ i ⁵⁵ + k - əɯ ³³	4868 4866	680
4106	ProtoBai	unseam (clothing)	tʰje4	tʰje4	tʰ j e ⁴	4879	i m n t	tʰ j e ⁴	4879	681
4107	Tuoluo	unseam (clothing)	tʰi42	tʰi42	tʰ i ⁴²	4879	i n t	tʰ - i ⁴²	4879	681
4108	Gongxing	unseam (clothing)	tʰua224	tʰua224	tʰ u/w a ²²⁴	4879	i m n t	tʰ u/w a ²²⁴	4879	681
4109	Enqi	unseam (clothing)	(lo43)	lo43	l o ⁴³	4880	i n t	l o ⁴³	4880	682
4110	Ega	unseam (clothing)	tʰo55	tʰo55	tʰ o ⁵⁵	4879	i n t	tʰ - o ⁵⁵	4879	681
4111	Jinman	unseam (clothing)	ʈʰɚ55	ʈʰɚ55	ʈʰ ɚ/ə ⁵⁵	4879	i n t	ʈʰ - ɚ/ə ⁵⁵	4879	681
4112	Jinxing	unseam (clothing)	tʰe44	tʰe44	tʰ e ⁴⁴	4879	i n t	tʰ - e ⁴⁴	4879	681
4113	Dashi	unseam (clothing)	tʰe33	tʰe33	tʰ e ³³	4879	i n t	tʰ - e ³³	4879	681
4114	Zhoucheng	unseam (clothing)	tsʰu33	tsʰu33	tsʰ u ³³	4879	i n t	tsʰ - u ³³	4879	681
4115	Mazhelong	unseam (clothing)	tsʰu33	tsʰu33	tsʰ u ³³	4879	i n t	tsʰ - u ³³	4879	681
4116	ProtoBai	use or lean on (a walking stick)	trɯ2	trɯ2	ʈ ɯ ²	4891	i n t	ʈ - ɯ ²	4891	684
4117	Tuoluo	use or lean on (a walking stick)	tiɯ33	tiɯ33	t i/j ɯ ³³	4891	i m n t	t i/j ɯ ³³	4891	684
4118	Gongxing	use or lean on (a walking stick)	nɛ12	nɛ12	n ɛ ¹²	4892	i n t	n ɛ ¹²	4892	685
4119	Enqi	use or lean on (a walking stick)	tiɯ22	tiɯ22	t i/j ɯ ²²	4891	i m n t	t i/j ɯ ²²	4891	684
4120	Ega	use or lean on (a walking stick)	pa21	pa21	p a ²¹	4890	i n t	p a ²¹	4890	683
4121	Jinman	use or lean on (a walking stick)	ʈɯ22	ʈɯ22	ʈ ɯ ²²	4891	i n t	ʈ - ɯ ²²	4891	684
4122	Jinxing	use or lean on (a walking stick)	tsɯ33	tsɯ33	ts ɯ ³³	4891	i n t	ts - ɯ ³³	4891	684
4123	Zhoucheng	use or lean on (a walking stick)	tsɯ33	tsɯ33	ts ɯ ³³	4891	i n t	ts - ɯ ³³	4891	684
4124	Mazhelong	use or lean on (a walking stick)	tsǝɯ33	tsǝɯ33	ts əɯ ³³	4891	i n t	ts - əɯ ³³	4891	684
4125	ProtoBai	used, old	gɯ̃3	gɯ̃3	g ɯ̃ ³	4900	i n t	g ɯ̃ - ³	4900	686
4126	Tuoluo	used, old	geŋ21	geŋ21	g e ŋ ²¹	4900	i n c t	g e ŋ ²¹	4900	686
4127	Gongxing	used, old	gɯ42	gɯ42	g ɯ ⁴²	4900	i n t	g ɯ - ⁴²	4900	686
4128	Enqi	used, old	gɯ43	gɯ43	g ɯ ⁴³	4900	i n t	g ɯ - ⁴³	4900	686
4129	Ega	used, old	gɯ42	gɯ42	g ɯ ⁴²	4900	i n t	g ɯ - ⁴²	4900	686
4130	Jinman	used, old	gɯ̃42	gɯ̃42	g ɯ̃ ⁴²	4900	i n t	g ɯ̃ - ⁴²	4900	686
4131	Zhoucheng	used, old	kɯ31	kɯ31	k ɯ ³¹	4900	i n t	k ɯ - ³¹	4900	686
4132	Mazhelong	used, old	kǝɯ21	kǝɯ21	k əɯ ²¹	4900	i n t	k əɯ - ²¹	4900	686
4133	ProtoBai	vat; jar	kaŋ1	kaŋ1	k a ŋ ¹	4909	i n c t	k a ŋ ¹	4909	687
4134	Tuoluo	vat; jar	kaŋ55	kaŋ55	k a ŋ ⁵⁵	4909	i n c t	k a ŋ ⁵⁵	4909	687
4135	Enqi	vat; jar	ka24	ka24	k a ²⁴	4909	i n t	k a - ²⁴	4909	687
4136	Jinman	vat; jar	kã55	kã55	k ã ⁵⁵	4909	i n t	k ã - ⁵⁵	4909	687
4137	Jinxing	vat; jar	kɑ̃55	kɑ̃55	k ɑ̃ ⁵⁵	4909	i n t	k ɑ̃ - ⁵⁵	4909	687
